Chart Recorder Data File Wed, Feb 08, 2023 11:03 AM
CH1 (V)  	CH2 (V)  
13.850712891	0.065917969
13.944404297	0.066894531
14.069326172	0.073242187
14.178632813	0.075195312
14.303554688	0.083007812
14.412861328	0.085449219
14.522167969	0.093261719
14.631474609	0.096679687
14.772011719	0.105468750
14.865703125	0.108886719
14.990625000	0.118164062
15.099931641	0.122558594
15.224853516	0.132324219
15.334160156	0.137207031
15.443466797	0.147460937
15.568388672	0.152343750
15.677695312	0.163085937
15.787001953	0.168457031
15.911923828	0.178222656
16.005615234	0.183105469
16.114921875	0.192382812
16.239843750	0.194824219
16.364765625	0.208007812
16.474072266	0.193359375
16.583378906	0.195312500
16.692685547	0.185058594
16.817607422	0.179199219
16.926914062	0.169921875
17.051835937	0.165527344
17.161142578	0.155761719
17.270449219	0.149414062
17.379755859	0.137695312
17.520292969	0.130371094
17.629599609	0.118652344
17.738906250	0.111816406
17.863828125	0.101074219
17.973134766	0.095703125
18.082441406	0.086914062
18.191748047	0.083984375
18.301054687	0.079101562
18.425976563	0.079589844
18.550898437	0.077636719
18.660205078	0.081542969
18.785126953	0.082031250
18.894433594	0.088378906
19.003740234	0.089843750
19.128662109	0.097656250
19.237968750	0.100585937
19.362890625	0.108886719
19.472197266	0.112792969
19.597119141	0.121582031
19.706425781	0.125488281
19.815732422	0.135253906
19.909423828	0.139648437
20.034345703	0.149414062
20.128037109	0.154785156
20.252958984	0.165039062
20.377880859	0.170410156
20.487187500	0.181152344
20.596494141	0.186523437
20.721416016	0.197753906
20.830722656	0.203125000
20.955644531	0.212402344
21.049335938	0.216308594
21.174257812	0.223632812
21.299179688	0.225097656
21.408486328	0.229003906
21.533408203	0.227539062
21.658330078	0.229003906
21.767636719	0.225097656
21.876943359	0.223632812
21.970634766	0.217773437
22.111171875	0.213867187
22.204863281	0.205078125
22.345400391	0.198242187
22.439091797	0.187011719
22.564013672	0.179199219
22.673320312	0.167968750
22.798242188	0.159179687
22.907548828	0.147460937
23.016855469	0.138671875
23.141777344	0.127929687
23.251083984	0.121093750
23.376005859	0.113281250
23.485312500	0.110351562
23.594619141	0.106445312
23.719541016	0.107421875
23.828847656	0.106933594
23.922539063	0.110839844
24.031845703	0.113281250
24.156767578	0.119140625
24.266074219	0.122558594
24.390996094	0.129882812
24.500302734	0.134277344
24.609609375	0.142578125
24.718916016	0.147949219
24.843837891	0.157226562
24.968759766	0.162597656
25.078066406	0.171386719
25.202988281	0.178222656
25.312294922	0.181152344
25.421601563	0.192382812
25.546523437	0.203125000
25.655830078	0.208984375
25.780751953	0.219238281
25.890058594	0.224121094
25.983750000	0.231933594
26.108671875	0.236328125
26.233593750	0.241699219
26.342900391	0.244140625
26.452207031	0.248046875
26.577128906	0.263671875
26.686435547	0.257324219
26.795742188	0.249511719
26.920664062	0.245117187
27.029970703	0.239257812
27.154892578	0.235351562
27.264199219	0.229492187
27.373505859	0.224609375
27.498427734	0.216796875
27.607734375	0.210449219
27.732656250	0.201171875
27.841962891	0.193847656
27.935654297	0.184082031
28.060576172	0.175781250
28.169882812	0.166992187
28.294804688	0.159179687
28.404111328	0.150878906
28.513417969	0.145019531
28.638339844	0.138671875
28.747646484	0.136230469
28.856953125	0.133789062
28.966259766	0.134765625
29.091181641	0.134765625
29.216103516	0.138183594
29.325410156	0.140625000
29.434716797	0.146484375
29.544023437	0.150390625
29.684560547	0.157714844
29.778251953	0.162597656
29.903173828	0.169921875
30.012480469	0.176269531
30.090556641	0.184570312
30.106171875	0.186523437
30.090556641	0.187988281
30.106171875	0.187988281
30.106171875	0.188964844
30.106171875	0.188476562
30.106171875	0.188476562
30.106171875	0.187988281
30.090556641	0.188964844
30.106171875	0.187988281
30.090556641	0.188476562
30.106171875	0.187500000
30.090556641	0.187988281
30.106171875	0.187500000
30.090556641	0.188476562
30.106171875	0.187500000
30.106171875	0.188964844
30.121787109	0.187988281
30.106171875	0.188964844
30.106171875	0.188476562
30.106171875	0.188476562
30.106171875	0.187500000
30.106171875	0.188964844
30.106171875	0.187988281
30.090556641	0.188476562
30.106171875	0.187988281
